# Upyr boundary replay corpus v1.
# Spaces are materialized as U+2420 (␠); every decision snapshot ends at Space.
# Physical fields use English key legends and are intentionally not regenerated by the test.
# id	group	category	split	tags	mapping_profile	source_layout	physical_word	physical_context	observed_context	intended_context	expected_action	expected_direction
punct-wrong-en-uk-3	punct-uk-keyboard-comma	punctuation	evaluation	target-uk,wrong-layout,punctuation,physical-map	builtin-uk-v1	english	rkfdsfnehf?	rkfdsfnehf?␠	rkfdsfnehf?␠	клавіатура,␠	correct	english-to-ukrainian
punct-wrong-en-uk-4	punct-uk-settings-period	punctuation	evaluation	target-uk,wrong-layout,punctuation,physical-map	builtin-uk-v1	english	yfkfinedfyyz/	yfkfinedfyyz/␠	yfkfinedfyyz/␠	налаштування.␠	correct	english-to-ukrainian
punct-wrong-uk-en-1	punct-en-hello-comma	punctuation	evaluation	target-en,wrong-layout,punctuation,physical-map	builtin-uk-v1	ukrainian	hello,	hello,␠	руддщб␠	hello,␠	correct	ukrainian-to-english
punct-wrong-uk-en-2	punct-en-world-period	punctuation	evaluation	target-en,wrong-layout,punctuation,physical-map	builtin-uk-v1	ukrainian	world.	world.␠	цщкдвю␠	world.␠	correct	ukrainian-to-english
punct-wrong-uk-en-3	punct-en-really-question	punctuation	evaluation	target-en,wrong-layout,punctuation,physical-map	builtin-uk-v1	ukrainian	really?	really?␠	куфддн,␠	really?␠	correct	ukrainian-to-english
punct-wrong-uk-en-4	punct-en-settings-semicolon	punctuation	evaluation	target-en,wrong-layout,punctuation,physical-map	builtin-uk-v1	ukrainian	settings;	settings;␠	іуеештпіж␠	settings;␠	correct	ukrainian-to-english
punct-preserve-uk-name-comma	name-olha	punctuation	regression	target-uk,wrong-layout,punctuation,proper-name,delimiter-preservation	builtin-uk-v1	english	Jkmuf,	Jkmuf,␠	Jkmuf,␠	Ольга,␠	correct	english-to-ukrainian
punct-preserve-uk-name-period	name-olha	punctuation	regression	target-uk,wrong-layout,punctuation,proper-name,delimiter-preservation	builtin-uk-v1	english	Jkmuf.	Jkmuf.␠	Jkmuf.␠	Ольга.␠	correct	english-to-ukrainian
punct-preserve-en-name-question	name-olha	punctuation	regression	target-en,wrong-layout,punctuation,proper-name,delimiter-preservation	builtin-uk-v1	ukrainian	Olha?	Olha?␠	Щдрф,␠	Olha?␠	correct	ukrainian-to-english
punct-preserve-en-name-period	name-olha	punctuation	regression	target-en,wrong-layout,punctuation,proper-name,delimiter-preservation	builtin-uk-v1	ukrainian	Olha/	Olha/␠	Щдрф.␠	Olha.␠	correct	ukrainian-to-english
physical-letters-khlib	punctuation-physical-letters	punctuation	regression	target-uk,wrong-layout,physical-map	builtin-uk-v1	english	[ks,	[ks,␠	[ks,␠	хліб␠	correct	english-to-ukrainian
physical-letters-builtin-sequence	punctuation-physical-letters	punctuation	regression	target-uk,native,physical-map	builtin-uk-v1	ukrainian	[];',./	[];',./␠	хїжєбю.␠	хїжєбю.␠	keep	-
physical-letters-reported-sequence	reported-user-punctuation	reported-regressions	regression	target-uk,native,physical-map,custom-mapping	reported-user-layout-v1	ukrainian	[];'\,./	[];'\,./␠	хїжєʼбю.␠	хїжєʼбю.␠	keep	-
abstain-en-uk-1	short-uk-ya	ambiguous-abstain	evaluation	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	z	z␠	z␠	я␠	keep	-
abstain-en-uk-2	short-uk-my	ambiguous-abstain	evaluation	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	vb	vb␠	vb␠	ми␠	keep	-
abstain-en-uk-3	short-uk-tse	ambiguous-abstain	evaluation	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	wt	wt␠	wt␠	це␠	keep	-
abstain-en-uk-4	short-uk-ty	ambiguous-abstain	calibration	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	nb	nb␠	nb␠	ти␠	keep	-
abstain-en-uk-5	short-uk-vin	ambiguous-abstain	calibration	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	dsy	dsy␠	dsy␠	він␠	keep	-
abstain-en-uk-6	short-uk-na	ambiguous-abstain	evaluation	target-uk,wrong-layout,short,abstain	builtin-uk-v1	english	yf	yf␠	yf␠	на␠	keep	-
abstain-uk-en-1	short-en-a	ambiguous-abstain	evaluation	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	a	a␠	ф␠	a␠	keep	-
abstain-uk-en-2	short-en-is	ambiguous-abstain	evaluation	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	is	is␠	ші␠	is␠	keep	-
abstain-uk-en-3	short-en-to	ambiguous-abstain	evaluation	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	to	to␠	ещ␠	to␠	keep	-
abstain-uk-en-4	short-en-in	ambiguous-abstain	evaluation	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	in	in␠	шт␠	in␠	keep	-
abstain-uk-en-5	short-en-we	ambiguous-abstain	evaluation	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	we	we␠	цу␠	we␠	keep	-
abstain-uk-en-6	short-en-my	ambiguous-abstain	calibration	target-en,wrong-layout,short,abstain	builtin-uk-v1	ukrainian	my	my␠	ьн␠	my␠	keep	-
context-en-uk-1	context-tak-bude	contextual	regression	target-uk,wrong-layout,context	builtin-uk-v1	english	,elt	nfr␠f␠xb␠,elt␠	nfr␠f␠xb␠,elt␠	так␠а␠чи␠буде␠	correct	english-to-ukrainian
context-en-uk-2	context-shvydko	contextual	regression	target-uk,wrong-layout,context	builtin-uk-v1	english	ghj	idblrj␠vf'␠dbghfdkznb␠ghj␠	idblrj␠vf'␠dbghfdkznb␠ghj␠	швидко␠має␠виправляти␠про␠	correct	english-to-ukrainian
context-en-uk-3	context-uk-keyboard	contextual	evaluation	target-uk,wrong-layout,context	builtin-uk-v1	english	idblrj	erhf]ycmrf␠rkfdsfnehf␠ghfw.'␠idblrj␠	erhf]ycmrf␠rkfdsfnehf␠ghfw.'␠idblrj␠	українська␠клавіатура␠працює␠швидко␠	correct	english-to-ukrainian
context-en-uk-4	context-uk-settings	contextual	evaluation	target-uk,wrong-layout,context	builtin-uk-v1	english	ghjcnbvb	yfkfinedfyyz␠vf.nm␠,enb␠ghjcnbvb␠	yfkfinedfyyz␠vf.nm␠,enb␠ghjcnbvb␠	налаштування␠мають␠бути␠простими␠	correct	english-to-ukrainian
context-en-uk-5	context-uk-punctuation	contextual	evaluation	target-uk,wrong-layout,context	builtin-uk-v1	english	hjprkflre	gthtdshbvj␠geyrnefws.␠nf␠hjprkflre␠	gthtdshbvj␠geyrnefws.␠nf␠hjprkflre␠	перевіримо␠пунктуацію␠та␠розкладку␠	correct	english-to-ukrainian
context-uk-en-1	context-entry-mode	contextual	regression	target-en,wrong-layout,context	builtin-uk-v1	ukrainian	fast	entry␠mode␠is␠quite␠fast␠	утекн␠ьщву␠ші␠йгшеу␠афіе␠	entry␠mode␠is␠quite␠fast␠	correct	ukrainian-to-english
context-uk-en-2	context-en-auto	contextual	calibration	target-en,wrong-layout,context	builtin-uk-v1	ukrainian	automatically	this␠should␠convert␠automatically␠	ерші␠ірщгдв␠сщтмуке␠фгещьфешсфддн␠	this␠should␠convert␠automatically␠	correct	ukrainian-to-english
context-uk-en-3	context-en-instant	contextual	calibration	target-en,wrong-layout,context	builtin-uk-v1	ukrainian	instantly	automatic␠layout␠correction␠works␠instantly␠	фгещьфешс␠дфнщге␠сщккусешщт␠цщклі␠штіефтедн␠	automatic␠layout␠correction␠works␠instantly␠	correct	ukrainian-to-english
context-uk-en-4	context-en-switch	contextual	evaluation	target-en,wrong-layout,context	builtin-uk-v1	ukrainian	correctly	the␠keyboard␠switches␠languages␠correctly␠	еру␠лунищфкв␠іцшесруі␠дфтпгфпуі␠сщккуседн␠	the␠keyboard␠switches␠languages␠correctly␠	correct	ukrainian-to-english
context-uk-en-5	context-en-detection	contextual	evaluation	target-en,wrong-layout,context	builtin-uk-v1	ukrainian	context	language␠detection␠uses␠surrounding␠context␠	дфтпгфпу␠вуеусешщт␠гіуі␠ігккщгтвштп␠сщтеуче␠	language␠detection␠uses␠surrounding␠context␠	correct	ukrainian-to-english
reported-gibberish-physical-map	reported-gibberish	reported-regressions	regression	target-uk,wrong-layout,physical-map,reported	builtin-uk-v1	english	,'.	,j␠]]␠';b␠[e.v,f␠,'.␠,'.␠	,j␠]]␠';b␠[e.v,f␠,'.␠,'.␠	бо␠її␠єжи␠хуюмба␠бєю␠бєю␠	correct	english-to-ukrainian
clean-holdout-uk-rubtsi	clean-uk-rubtsi	native-ukrainian	regression	target-uk,native,holdout-regression,physical-map	builtin-uk-v1	ukrainian	he,ws	he,ws␠	рубці␠	рубці␠	keep	-
clean-holdout-uk-dupu	clean-uk-dupu	native-ukrainian	regression	target-uk,native,holdout-regression	builtin-uk-v1	ukrainian	lege	lege␠	дупу␠	дупу␠	keep	-
clean-holdout-uk-rushii	clean-uk-rushii	native-ukrainian	regression	target-uk,native,holdout-regression,physical-map	builtin-uk-v1	ukrainian	heis]	heis]␠	рушії␠	рушії␠	keep	-
clean-holdout-uk-khutir	clean-uk-khutir	native-ukrainian	regression	target-uk,native,holdout-regression,physical-map	builtin-uk-v1	ukrainian	[ensh	[ensh␠	хутір␠	хутір␠	keep	-
